Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
sub_4046E0	.text	004046E0	0000007C	00000008	00000004	R	.	.	.	.	.	.	.
sub_404760	.text	00404760	00000048	00000000	00000004	R	.	.	.	.	.	.	.
sub_4047B0	.text	004047B0	000000CB	00000010	00000008	R	.	.	.	.	.	.	.
sub_404880	.text	00404880	000000D2	00000008	00000004	R	.	.	.	.	.	.	.
sub_404960	.text	00404960	00000078	00000004	0000000C	R	.	.	.	.	.	T	.
sub_4049E0	.text	004049E0	00000036	00000000	00000000	R	.	.	.	.	.	.	.
sub_404A20	.text	00404A20	00000041	00000004	00000004	R	.	.	.	.	.	.	.
sub_404A70	.text	00404A70	00000094	00000010	00000004	R	.	.	.	.	.	.	.
UNK_elfControlInitialize_404B10	.text	00404B10	00000282	00000008	00000000	R	.	.	.	.	.	.	.
sub_404DA0	.text	00404DA0	00000021	00000000	00000000	R	.	.	.	.	.	.	.
UNK_ProcessInput_404DD0	.text	00404DD0	00000F19	00000024	00000000	R	.	.	.	.	.	.	.
sub_405CF0	.text	00405CF0	000000D1	00000000	00000004	R	.	.	.	.	.	.	.
sub_405DD0	.text	00405DD0	000000C6	00000010	00000008	R	.	.	.	.	.	.	.
sub_405EA0	.text	00405EA0	000001DB	0000001C	00000004	R	.	.	.	.	.	.	.
UNK_LoadControlMapMAYBE_406080	.text	00406080	000003EB	000001B0	00000004	R	.	.	.	.	.	.	.
UNK_ReadInputCfgMAYBE_406470	.text	00406470	000005D2	00000140	0000000C	R	.	.	.	.	.	.	.
sub_406A50	.text	00406A50	0000026E	0000002C	0000001C	R	.	.	.	.	.	T	.
sub_406CC0	.text	00406CC0	00000831	000001B4	00000014	R	.	.	.	.	.	T	.
UNK_elfControlRemoveMapping_407500	.text	00407500	00000129	00000020	00000014	R	.	.	.	.	.	.	.
sub_407630	.text	00407630	000000C7	00000050	00000004	R	.	.	.	.	.	.	.
sub_407700	.text	00407700	000000FD	00000010	00000008	R	.	.	.	.	.	.	.
sub_407800	.text	00407800	0000009C	00000004	00000004	R	.	.	.	.	.	.	.
UNK_elfControlReplaceMapping_4078A0	.text	004078A0	0000003B	0000000C	00000018	R	.	.	.	.	.	.	.
UNK_elfControlCreateMapping_4078E0	.text	004078E0	00000108	00000014	00000018	R	.	.	.	.	.	.	.
sub_4079F0	.text	004079F0	00000094	0000000C	00000010	R	.	.	.	.	.	.	.
sub_407A90	.text	00407A90	00000062	00000010	00000008	R	.	.	.	.	.	.	.
sub_407B00	.text	00407B00	000000E8	00000008	00000008	R	.	.	.	.	.	.	.
sub_407CD0	.text	00407CD0	000000B1	00000010	0000000C	R	.	.	.	.	.	.	.
sub_407D90	.text	00407D90	00000047	00000008	00000005	R	.	.	.	.	.	.	.
sub_407DE0	.text	00407DE0	000000BB	00000310	00000000	R	.	.	.	.	.	.	.
sub_407EA0	.text	00407EA0	000000D3	0000000C	00000004	R	.	.	.	.	.	.	.
sub_407F80	.text	00407F80	0000009A	00000010	00000004	R	.	.	.	.	.	.	.
sub_408020	.text	00408020	00000020	00000000	00000004	R	.	.	.	.	.	.	.
sub_408040	.text	00408040	00000077	00000000	00000010	R	.	.	.	.	.	T	.
sub_4080C0	.text	004080C0	0000005C	00000000	00000009	R	.	.	.	.	.	.	.
sub_408120	.text	00408120	00000092	00000008	00000000	R	.	.	.	.	.	.	.
sub_4081C0	.text	004081C0	00000016	00000004	00000000	R	.	.	.	.	.	.	.
sub_4081E0	.text	004081E0	0000001B	00000000	00000004	R	.	.	.	.	.	.	.
sub_408200	.text	00408200	0000000E	00000000	00000000	R	.	.	.	.	.	.	.
sub_408210	.text	00408210	0000000A	00000000	00000004	R	.	.	.	.	.	.	.
sub_408220	.text	00408220	000000B7	00000008	00000000	R	.	.	.	.	.	.	.
sub_4082E0	.text	004082E0	00000080	00000010	00000008	R	.	.	.	.	.	.	.
sub_408360	.text	00408360	00000061	00000004	00000008	R	.	.	.	.	.	T	.
sub_4083D0	.text	004083D0	00000140	00000008	00000000	R	.	.	.	.	.	.	.
sub_408510	.text	00408510	0000010D	0000007C	00000000	R	.	.	.	.	.	.	.
sub_408620	.text	00408620	00000015	00000000	00000000	R	.	.	.	.	.	T	.
sub_408640	.text	00408640	000001BB	00000070	00000008	R	.	.	.	.	.	.	.
sub_408800	.text	00408800	00000015	00000000	00000000	R	.	.	.	.	.	.	.
sub_408820	.text	00408820	00000053	00000008	00000000	R	.	.	.	.	.	.	.
UNK_LoadVideoCfgMAYBE_408880	.text	00408880	000002DC	00000140	00000004	R	.	.	.	.	.	.	.
sub_408B60	.text	00408B60	000002DC	0000010C	00000004	R	.	.	.	.	.	.	.
sub_408E40	.text	00408E40	00000012	00000000	00000004	R	.	.	.	.	.	.	.
sub_408E60	.text	00408E60	00000049	00000008	00000008	R	.	.	.	.	.	.	.
sub_408EB0	.text	00408EB0	000000BF	0000000C	00000004	R	.	.	.	.	.	.	.
sub_408F70	.text	00408F70	00000017	00000000	00000004	R	.	.	.	.	.	.	.
sub_408F90	.text	00408F90	00000018	00000000	00000000	R	.	.	.	.	.	.	.
sub_408FB0	.text	00408FB0	00000088	00000010	00000008	R	.	.	.	.	.	.	.
sub_409040	.text	00409040	000001E6	000000E8	00000004	R	.	.	.	.	.	.	.
sub_409230	.text	00409230	00000033	00000000	00000004	R	.	.	.	.	.	.	.
sub_409270	.text	00409270	0000001D	00000004	00000000	R	.	.	.	.	.	.	.
sub_409290	.text	00409290	000000E8	00000010	00000004	R	.	.	.	.	.	.	.
sub_409380	.text	00409380	000000C4	00000000	00000004	R	.	.	.	.	.	.	.
sub_409450	.text	00409450	0000008F	00000000	0000000E	R	.	.	.	.	.	.	.
sub_4094E0	.text	004094E0	00000022	00000000	00000004	R	.	.	.	.	.	.	.
sub_409510	.text	00409510	000000EA	0000000C	00000008	R	.	.	.	.	.	.	.
sub_409600	.text	00409600	00000100	00000004	00000026	R	.	.	.	.	.	.	.
sub_409700	.text	00409700	00000046	00000004	00000002	R	.	.	.	.	.	.	.
sub_409750	.text	00409750	000000A4	00000000	0000001A	R	.	.	.	.	.	.	.
sub_409800	.text	00409800	000002E4	00000080	00000004	R	.	.	.	.	.	.	.
sub_409AF0	.text	00409AF0	0000001E	00000000	00000000	R	.	.	.	.	.	.	.
sub_409B10	.text	00409B10	000001E1	00000090	00000004	R	.	.	.	.	.	.	.
sub_409D00	.text	00409D00	0000006E	00000004	00000000	R	.	.	.	.	.	.	.
sub_409D70	.text	00409D70	00000164	00000048	00000004	R	.	.	.	.	.	.	.
sub_409EE0	.text	00409EE0	000001CE	0000000C	00000010	R	.	.	.	.	.	.	.
sub_40A0B0	.text	0040A0B0	00000065	00000008	00000004	R	.	.	.	.	.	.	.
sub_40A120	.text	0040A120	0000003B	00000004	00000004	R	.	.	.	.	.	.	.
sub_40A160	.text	0040A160	00000027	00000000	00000004	R	.	.	.	.	.	.	.
sub_40A190	.text	0040A190	000000AA	00000010	00000008	R	.	.	.	.	.	.	.
sub_40A240	.text	0040A240	000000EA	00000010	00000008	R	.	.	.	.	.	.	.
sub_40A330	.text	0040A330	000001CE	00000020	00000008	R	.	.	.	.	.	.	.
sub_40A500	.text	0040A500	00000174	0000001C	00000008	R	.	.	.	.	.	.	.
UNK_ForceCfgLoadMAYBE_40A680	.text	0040A680	000004D7	00000004	00000000	R	.	.	.	.	.	.	.
sub_40AB60	.text	0040AB60	0000001B	00000008	00000000	R	.	.	.	.	.	.	.
UNK_LoadForceCfgMAYBE_40AB80	.text	0040AB80	000002B8	00000140	00000004	R	.	.	.	.	.	.	.
UNK_CheckForceCfgMAYBE_40AE40	.text	0040AE40	000002CC	00000110	00000004	R	.	.	.	.	.	.	.
sub_40B110	.text	0040B110	0000003D	00000000	00000004	R	.	.	.	.	.	.	.
sub_40B150	.text	0040B150	00000062	00000000	00000008	R	.	.	.	.	.	.	.
sub_40B1C0	.text	0040B1C0	00000205	00000018	00000000	R	.	.	.	.	.	.	.
sub_40B3D0	.text	0040B3D0	00000202	0000000C	00000000	R	.	.	.	.	.	.	.
sub_40B5E0	.text	0040B5E0	00000151	00000008	00000000	R	.	.	.	.	.	.	.
sub_40B740	.text	0040B740	000004A4	0000004C	00000008	R	.	.	.	.	.	.	.
sub_40BBF0	.text	0040BBF0	00000084	00000004	00000004	R	.	.	.	.	.	.	.
sub_40BC80	.text	0040BC80	00000478	00000048	00000004	R	.	.	.	.	.	.	.
sub_40C100	.text	0040C100	00000158	00000004	00000004	R	.	.	.	.	.	.	.
sub_40C260	.text	0040C260	00000279	00000210	00000004	R	.	.	.	.	.	.	.
sub_40C4E0	.text	0040C4E0	00000184	00000194	00000004	R	.	.	.	.	.	.	.
sub_40C670	.text	0040C670	00000122	00000050	0000001C	R	.	.	.	.	.	.	.
DrawJoystickSettingsMenu_maybe_40C7A0	.text	0040C7A0	00000B20	0000015C	00000004	R	.	.	.	.	.	.	.
DrawMouseSettingsMenu_maybe_40D2C0	.text	0040D2C0	00000A46	0000015C	00000004	R	.	.	.	.	.	.	.
DrawKeyboardSettingsMenu_maybe_40DD10	.text	0040DD10	00000989	00000154	00000004	R	.	.	.	.	.	.	.
DrawVideoSettingsMenu_maybe_40E6A0	.text	0040E6A0	000003C2	0000011C	00000004	R	.	.	.	.	.	.	.
DrawAudioSettingsMenu_maybe_40EA70	.text	0040EA70	000004CF	00000108	00000004	R	.	.	.	.	.	.	.
DrawForceFeedbackSettings_maybe_40EF40	.text	0040EF40	00000C0E	00000124	00000004	R	.	.	.	.	.	.	.
DrawKeyboardReservedKeysMenu_maybe_40FB50	.text	0040FB50	00000488	00000130	00000004	R	.	.	.	.	.	.	.
DrawLoadSaveSettingsMenu_maybe_40FFE0	.text	0040FFE0	00000245	00000130	00000004	R	.	.	.	.	.	.	.
DrawProfileSelectMenu_maybe_410230	.text	00410230	000001F8	00000030	00000004	R	.	.	.	.	.	.	.
sub_410430	.text	00410430	00000046	00000000	00000000	R	.	.	.	.	.	.	.
sub_410480	.text	00410480	00000062	00000058	00000004	R	.	.	.	.	.	.	.
UNK_ProcessCheatInputs_maybe_4104F0	.text	004104F0	00000AD9	00000034	00000000	R	.	.	.	.	.	.	.
sub_410FD0	.text	00410FD0	0000014A	00000010	00000000	R	.	.	.	.	B	.	.
sub_411120	.text	00411120	0000001A	00000000	00000008	R	.	.	.	.	.	.	.
sub_411140	.text	00411140	00000025	00000000	00000008	R	.	.	.	.	.	.	.
UNK_RenderBubbleIcon_maybe_411170	.text	00411170	0000009E	00000100	00000014	R	.	.	.	.	.	.	.
UNK_RenderOKButton_maybe_411210	.text	00411210	0000005F	00000010	0000000C	R	.	.	.	.	.	.	.
sub_411270	.text	00411270	00000071	00000000	0000000C	R	.	.	.	.	.	.	.
sub_4112F0	.text	004112F0	00000071	00000000	0000000C	R	.	.	.	.	.	.	.
sub_411370	.text	00411370	00000011	00000000	00000000	R	.	.	.	.	.	.	.
sub_411390	.text	00411390	000000A7	00000010	0000000C	R	.	.	.	.	.	.	.
sub_411440	.text	00411440	0000003F	00000000	0000000C	R	.	.	.	.	.	.	.
sub_411480	.text	00411480	00000006	00000000	00000000	R	.	.	.	.	.	.	.
sub_411490	.text	00411490	00000012	00000000	00000004	R	.	.	.	.	.	.	.
sub_4114B0	.text	004114B0	00000012	00000000	00000004	R	.	.	.	.	.	.	.
sub_4114D0	.text	004114D0	00000236	00000030	00000008	R	.	.	.	.	.	.	.
sub_411720	.text	00411720	00000006	00000000	00000000	R	.	.	.	.	.	.	.
sub_411730	.text	00411730	0000000A	00000000	00000004	R	.	.	.	.	.	.	.
sub_411740	.text	00411740	00000027	00000000	00000010	R	.	.	.	.	.	.	.
sub_411770	.text	00411770	00000040	00000000	0000000C	R	.	.	.	.	.	.	.
sub_4117B0	.text	004117B0	00000026	00000000	00000004	R	.	.	.	.	.	.	.
sub_4117E0	.text	004117E0	00000016	00000004	00000000	R	.	.	.	.	.	.	.
sub_411800	.text	00411800	00000006	00000000	00000000	R	.	.	.	.	.	.	.
sub_411810	.text	00411810	0000000D	00000000	00000000	R	.	.	.	.	.	.	.
sub_411820	.text	00411820	0000008F	00000008	00000004	R	.	.	.	.	.	.	.
sub_4118B0	.text	004118B0	0000005E	00000000	00000000	R	.	.	.	.	.	.	.
sub_411910	.text	00411910	00000040	00000008	00000008	R	.	.	.	.	.	.	.
UNK_RenderMainMenu_maybe_411950	.text	00411950	00000899	00000004	00000000	R	.	.	.	.	.	.	.
sub_4121F0	.text	004121F0	00000433	00000020	00000000	R	.	.	.	.	.	.	.
sub_412630	.text	00412630	0000000B	00000000	00000000	R	.	.	.	.	.	.	.
sub_412640	.text	00412640	0000000A	00000000	00000004	R	.	.	.	.	.	.	.
sub_412650	.text	00412650	000007C5	00000000	00000000	R	.	.	.	.	.	.	.
sub_412E20	.text	00412E20	0000001E	00000000	00000000	R	.	.	.	.	.	.	.
sub_412E40	.text	00412E40	0000004E	00000004	00000000	R	.	.	.	.	.	.	.
sub_412E90	.text	00412E90	00000087	00000404	00000008	R	.	.	.	.	.	.	.
sub_412F20	.text	00412F20	00000035	00000008	00000004	R	.	.	.	.	.	.	.
sub_412F60	.text	00412F60	00000046	00000008	00000004	R	.	.	.	.	.	.	.
sub_412FB0	.text	00412FB0	000000D9	00000008	00000018	R	.	.	.	.	.	.	.
sub_413090	.text	00413090	00000048	00000000	00000015	R	.	.	.	.	.	.	.
sub_4130E0	.text	004130E0	00000042	00000000	0000000C	R	.	.	.	.	.	.	.
sub_413130	.text	00413130	00000081	00000020	00000010	R	.	.	.	.	.	.	.
UNK_RenderTextPlain_maybe_4131C0	.text	004131C0	000000DC	00000008	00000020	R	.	.	.	.	.	T	.
UNK_RenderTextBubble_maybe_4132A0	.text	004132A0	00000098	0000000C	00000028	R	.	.	.	.	.	T	.
sub_413340	.text	00413340	000000E7	00000010	00000030	R	.	.	.	.	.	T	.
sub_413430	.text	00413430	000000D0	00000020	00000018	R	.	.	.	.	.	.	.
sub_413500	.text	00413500	00000013	00000000	00000008	R	.	.	.	.	.	.	.
sub_413520	.text	00413520	000000EB	00000030	00000018	R	.	.	.	.	.	.	.
sub_413610	.text	00413610	000000D5	00000004	00000008	R	.	.	.	.	.	.	.
sub_4136F0	.text	004136F0	00000047	00000008	00000008	R	.	.	.	.	.	T	.
sub_413740	.text	00413740	00000026	00000000	00000004	R	.	.	.	.	.	.	.
sub_413770	.text	00413770	00000029	00000000	00000008	R	.	.	.	.	.	.	.
sub_4137A0	.text	004137A0	00000022	00000000	00000004	R	.	.	.	.	.	.	.
sub_4137D0	.text	004137D0	00000021	00000000	00000004	R	.	.	.	.	.	.	.
sub_413800	.text	00413800	00000069	0000000C	00000004	R	.	.	.	.	.	.	.
sub_413870	.text	00413870	0000003E	00000004	00000004	R	.	.	.	.	.	.	.
SetRGBAtoUNK6_maybe_4138B0	.text	004138B0	0000003A	00000000	00000011	R	.	.	.	.	.	.	.
sub_4138F0	.text	004138F0	0000013F	00000008	00000014	R	.	.	.	.	.	T	.
sub_413A30	.text	00413A30	00000058	00000008	00000008	R	.	.	.	.	.	.	.
sub_413A90	.text	00413A90	0000007C	00000008	0000001C	R	.	.	.	.	.	.	.
sub_413B10	.text	00413B10	00000012	00000000	00000004	R	.	.	.	.	.	.	.
sub_413B30	.text	00413B30	00000026	00000000	00000008	R	.	.	.	.	.	.	.
sub_413B60	.text	00413B60	00000026	00000000	00000008	R	.	.	.	.	.	.	.
sub_413B90	.text	00413B90	000000BB	00000004	0000001C	R	.	.	.	.	.	.	.
sub_413C50	.text	00413C50	00000342	00000028	00000028	R	.	.	.	.	.	T	.
sub_413FA0	.text	00413FA0	00000019	00000000	00000004	R	.	.	.	.	.	.	.
UNK_DrawSettingsMenuPageTitle_maybe_413FC0	.text	00413FC0	0000045B	0000003C	0000002C	R	.	.	.	.	.	T	.
sub_414420	.text	00414420	00000170	00000018	00000008	R	.	.	.	.	.	.	.
sub_414590	.text	00414590	0000001A	00000000	00000004	R	.	.	.	.	.	.	.
sub_4145B0	.text	004145B0	0000010A	0000000C	00000024	R	.	.	.	.	.	T	.
UNK_RenderDialogBox_maybe_4146C0	.text	004146C0	000003EB	00000050	00000024	R	.	.	.	.	.	T	.
sub_414AB0	.text	00414AB0	0000002B	00000004	0000000C	R	.	.	.	.	.	T	.
sub_414AE0	.text	00414AE0	0000000F	00000000	00000008	R	.	.	.	.	.	.	.
sub_414AF0	.text	00414AF0	0000003D	00000008	0000000C	R	.	.	.	.	.	T	.
sub_414B30	.text	00414B30	0000000F	00000000	00000008	R	.	.	.	.	.	.	.
sub_414B40	.text	00414B40	0000001A	00000000	0000000C	R	.	.	.	.	.	.	.
sub_414B60	.text	00414B60	0000001A	00000000	0000000C	R	.	.	.	.	.	T	.
sub_414B80	.text	00414B80	0000001A	00000000	0000000C	R	.	.	.	.	.	.	.
sub_414BA0	.text	00414BA0	0000003D	00000008	0000000C	R	.	.	.	.	.	T	.
SetRGBAtoUNK1_maybe_414BE0	.text	00414BE0	0000002D	00000000	00000011	R	.	.	.	.	.	.	.
SetRGBAtoUNK3_maybe_414C10	.text	00414C10	0000002D	00000000	00000011	R	.	.	.	.	.	.	.
SetRGBAtoUNK4_maybe_414C40	.text	00414C40	0000002D	00000000	00000011	R	.	.	.	.	.	.	.
SetRGBAtoUNK5_maybe_414C70	.text	00414C70	0000002D	00000000	00000011	R	.	.	.	.	.	.	.
SetRGBAtoUNK2_maybe_414CA0	.text	00414CA0	0000002D	00000000	00000011	R	.	.	.	.	.	.	.
sub_414CD0	.text	00414CD0	00000018	00000000	0000000C	R	.	.	.	.	.	.	.
sub_414CF0	.text	00414CF0	0000000F	00000000	00000008	R	.	.	.	.	.	.	.
sub_414D00	.text	00414D00	00000054	00000008	00000004	R	.	.	.	.	.	T	.
sub_414D60	.text	00414D60	0000002C	00000004	00000008	R	.	.	.	.	.	.	.
Unk_swrUI_GetById_414D90	.text	00414D90	0000005F	0000000C	00000008	R	.	.	.	.	.	.	.
sub_414DF0	.text	00414DF0	00000018	00000000	00000004	R	.	.	.	.	.	.	.
sub_414E10	.text	00414E10	0000001A	00000000	00000004	R	.	.	.	.	.	.	.
sub_414E30	.text	00414E30	00000021	00000000	00000008	R	.	.	.	.	.	.	.
sub_414E60	.text	00414E60	00000017	00000000	00000008	R	.	.	.	.	.	T	.
sub_414E80	.text	00414E80	00000025	00000000	00000004	R	.	.	.	.	.	.	.
sub_414EB0	.text	00414EB0	00000047	00000000	00000004	R	.	.	.	.	.	.	.
sub_414F00	.text	00414F00	0000000A	00000000	00000004	R	.	.	.	.	.	.	.
sub_414F10	.text	00414F10	00000055	00000008	00000008	R	.	.	.	.	.	.	.
sub_414F70	.text	00414F70	00000066	00000004	00000004	R	.	.	.	.	.	.	.
sub_414FE0	.text	00414FE0	00000006	00000000	00000000	R	.	.	.	.	.	.	.
sub_414FF0	.text	00414FF0	00000006	00000000	00000000	R	.	.	.	.	.	.	.
sub_415000	.text	00415000	00000006	00000000	00000000	R	.	.	.	.	.	.	.
sub_415010	.text	00415010	0000000B	00000000	00000000	R	.	.	.	.	.	.	.
sub_415020	.text	00415020	000000B8	00000010	00000004	R	.	.	.	.	.	.	.
sub_4150E0	.text	004150E0	000000BB	00000020	0000000C	R	.	.	.	.	.	.	.
sub_4151A0	.text	004151A0	00000048	00000010	00000010	R	.	.	.	.	.	T	.
sub_4151F0	.text	004151F0	00000210	00000008	00000004	R	.	.	.	.	.	.	.
sub_415400	.text	00415400	00000233	0000000C	00000000	R	.	.	.	.	.	.	.
sub_415640	.text	00415640	00000053	00000000	00000008	R	.	.	.	.	.	.	.
sub_4156A0	.text	004156A0	0000012E	00000010	00000008	R	.	.	.	.	.	.	.
sub_4157D0	.text	004157D0	00000015	00000000	00000008	R	.	.	.	.	.	.	.
sub_4157F0	.text	004157F0	00000015	00000000	00000008	R	.	.	.	.	.	.	.
SetRegionToUnk1_maybe_415810	.text	00415810	00000031	00000000	00000014	R	.	.	.	.	.	.	.
sub_415850	.text	00415850	0000029C	00000004	00000010	R	.	.	.	.	.	T	.
sub_415B80	.text	00415B80	000000F2	00000010	00000010	R	.	.	.	.	.	T	.
sub_415CA0	.text	00415CA0	000001ED	00000020	00000010	R	.	.	.	.	.	T	.
sub_415ED0	.text	00415ED0	0000021C	00000020	00000010	R	.	.	.	.	.	T	.
sub_416130	.text	00416130	00000238	00000030	00000010	R	.	.	.	.	.	T	.
sub_416370	.text	00416370	000002B5	00000020	00000010	R	.	.	.	.	.	T	.
sub_416690	.text	00416690	00000167	00000120	00000010	R	.	.	.	.	.	T	.
sub_416820	.text	00416820	0000001D	00000000	00000010	R	.	.	.	.	.	.	.
sub_416840	.text	00416840	00000042	00000000	00000008	R	.	.	.	.	.	.	.
sub_416890	.text	00416890	0000005E	00000004	00000004	R	.	.	.	.	.	.	.
sub_4168F0	.text	004168F0	00000040	00000004	00000004	R	.	.	.	.	.	.	.
sub_416930	.text	00416930	00000110	00000010	00000004	R	.	.	.	.	.	.	.
sub_416A40	.text	00416A40	00000190	00000010	00000008	R	.	.	.	.	.	.	.
sub_416BD0	.text	00416BD0	000000EF	00000008	00000000	R	.	.	.	.	.	.	.
sub_416CC0	.text	00416CC0	000000A8	00000000	00000010	R	.	.	.	.	.	T	.
sub_416D70	.text	00416D70	00000013	00000000	00000008	R	.	.	.	.	.	.	.
sub_416D90	.text	00416D90	00000181	00000010	00000024	R	.	.	.	.	.	T	.
sub_416F20	.text	00416F20	00000029	00000004	0000000C	R	.	.	.	.	.	.	.
sub_416F50	.text	00416F50	0000007C	00000010	0000000C	R	.	.	.	.	.	.	.
sub_416FD0	.text	00416FD0	0000003A	00000000	0000000C	R	.	.	.	.	.	.	.
__get_fname	.text	00417010	00000025	00000000	00000004	R	.	L	.	S	.	.	.
sub_417040	.text	00417040	0000001E	00000000	00000000	R	.	.	.	.	.	.	.
sub_417060	.text	00417060	0000002B	00000004	00000004	R	.	.	.	.	.	.	.
sub_417090	.text	00417090	00000088	00000014	00000000	R	.	.	.	.	.	.	.
sub_417120	.text	00417120	0000002D	00000000	0000000C	R	.	.	.	.	.	.	.
sub_417150	.text	00417150	00000045	00000000	00000008	R	.	.	.	.	.	.	.
sub_4171A0	.text	004171A0	000000FF	00000018	0000000C	R	.	.	.	.	.	.	.
sub_4172A0	.text	004172A0	0000001B	00000000	0000000C	R	.	.	.	.	.	.	.
sub_4172C0	.text	004172C0	0000002A	00000000	0000000C	R	.	.	.	.	.	.	.
sub_4172F0	.text	004172F0	000000CA	00000004	00000004	R	.	.	.	.	.	.	.
sub_4173C0	.text	004173C0	00000113	00000410	0000002C	R	.	.	.	.	.	.	.
sub_4174E0	.text	004174E0	00000051	0000000C	00000008	R	.	.	.	.	.	T	.
sub_417540	.text	00417540	0000012B	00000004	0000002C	R	.	.	.	.	.	.	.
sub_417670	.text	00417670	00000019	00000000	00000004	R	.	.	.	.	.	.	.
sub_417690	.text	00417690	00000058	00000004	00000014	R	.	.	.	.	.	.	.
sub_4176F0	.text	004176F0	00000050	0000000C	0000000C	R	.	.	.	.	.	T	.
sub_417740	.text	00417740	00000070	00000014	0000000C	R	.	.	.	.	.	.	.
sub_4177B0	.text	004177B0	0000014B	00000014	00000014	R	.	.	.	.	.	.	.
sub_417900	.text	00417900	00000039	00000000	0000000C	R	.	.	.	.	.	.	.
sub_417940	.text	00417940	00000297	00000020	00000010	R	.	.	.	.	.	T	.
sub_417BE0	.text	00417BE0	000000BB	00000008	00000010	R	.	.	.	.	.	T	.
sub_417CA0	.text	00417CA0	00000256	00000024	00000004	R	.	.	.	.	.	.	.
sub_417F00	.text	00417F00	00000044	00000004	00000008	R	.	.	.	.	.	.	.
sub_417F50	.text	00417F50	0000008E	00000004	0000000C	R	.	.	.	.	.	.	.
sub_417FE0	.text	00417FE0	000000DE	00000010	0000000C	R	.	.	.	.	.	T	.
sub_4180C0	.text	004180C0	00000058	00000008	00000000	R	.	.	.	.	.	.	.
sub_418120	.text	00418120	0000035A	00000404	00000008	R	.	.	.	.	.	T	.
sub_4184D0	.text	004184D0	000001A1	00000030	00000000	R	.	.	.	.	.	.	.
sub_418680	.text	00418680	0000007E	00000010	00000010	R	.	.	.	.	.	.	.
sub_418700	.text	00418700	0000019E	0000001C	00000010	R	.	.	.	.	.	.	.
sub_4188B0	.text	004188B0	000001D0	00000030	00000008	R	.	.	.	.	.	.	.
sub_418A80	.text	00418A80	000000E2	00000018	00000020	R	.	.	.	.	.	.	.
sub_418B70	.text	00418B70	0000004B	0000000C	00000004	R	.	.	.	.	.	.	.
sub_418BC0	.text	00418BC0	000000EE	00000008	00000004	R	.	.	.	.	.	.	.
sub_418CB0	.text	00418CB0	0000037B	00000030	00000008	R	.	.	.	.	.	.	.
sub_419030	.text	00419030	00000034	00000000	00000010	R	.	.	.	.	.	.	.
sub_419070	.text	00419070	000000D0	00000000	0000000C	R	.	.	.	.	.	.	.
sub_419140	.text	00419140	000000AA	00000010	00000004	R	.	.	.	.	.	.	.
sub_4191F0	.text	004191F0	0000019F	00000008	0000000C	R	.	.	.	.	.	.	.
sub_419390	.text	00419390	00000112	00000000	0000000C	R	.	.	.	.	.	.	.
